week,month,year,date,total_revenue,trend,prediction
26,6,2010,2010-06-28,114861.12999999862,31,129855.63547100572
26,7,2010,2010-07-01,55932.43999999966,32,119113.84807570823
27,7,2010,2010-07-05,136775.1199999993,33,119106.34219953256
28,7,2010,2010-07-12,144495.57999999897,34,119098.8363233569
29,7,2010,2010-07-19,133615.99999999854,35,119091.33044718124
30,7,2010,2010-07-26,118917.02999999831,36,119083.82457100558
30,8,2010,2010-08-01,30637.95000000003,37,113522.96173981507
31,8,2010,2010-08-02,117866.3699999983,38,113515.4558636394
32,8,2010,2010-08-09,139842.0699999989,39,113507.94998746374
33,8,2010,2010-08-16,154786.91000000027,40,113500.44411128809
34,8,2010,2010-08-23,136279.5499999991,41,113492.93823511242
35,8,2010,2010-08-31,22811.75000000007,42,113485.43235893676
35,9,2010,2010-09-01,100807.79999999946,43,178210.60333762172
36,9,2010,2010-09-06,119333.9399999982,44,178203.09746144607
37,9,2010,2010-09-13,155778.92099999948,45,178195.59158527042
38,9,2010,2010-09-20,223587.04000000286,46,178188.08570909474
39,9,2010,2010-09-27,229506.2500000048,47,178180.5798329191
39,10,2010,2010-10-01,72886.40999999933,48,188331.29293887745
40,10,2010,2010-10-04,243007.44000000457,49,188323.78706270177
41,10,2010,2010-10-11,298614.0400000073,50,188316.28118652612
42,10,2010,2010-10-18,220882.67000000464,51,188308.77531035047
43,10,2010,2010-10-25,197721.45000000208,52,188301.26943417478
44,11,2010,2010-11-01,262597.86000000814,53,232510.50417571253
45,11,2010,2010-11-08,282707.7010000081,54,232502.99829953688
46,11,2010,2010-11-15,261610.06100000872,55,232495.49242336123
47,11,2010,2010-11-22,246492.99000000808,56,232487.98654718554
48,11,2010,2010-11-29,113051.40999999884,57,232480.4806710099
48,12,2010,2010-12-01,148627.9700000007,58,177040.71100109737
49,12,2010,2010-12-06,212619.13000000297,59,177033.2051249217
50,12,2010,2010-12-13,163116.12000000078,60,177025.69924874604
51,12,2010,2010-12-20,46059.510000000024,61,177018.1933725704
1,1,2011,2011-01-04,114636.7999999984,62,124698.07919400572
2,1,2011,2011-01-10,154344.84999999995,63,124690.57331783006
3,1,2011,2011-01-17,175452.23000000062,64,124683.06744165439
4,1,2011,2011-01-24,104860.9999999986,65,124675.56156547874
5,1,2011,2011-01-31,18806.430000000048,66,124668.05568930306
5,2,2011,2011-02-01,87149.37999999947,67,105443.62036015018
6,2,2011,2011-02-07,87827.93999999951,68,105436.11448397451
7,2,2011,2011-02-14,125700.1499999987,69,105428.60860779884
8,2,2011,2011-02-21,130380.76999999824,70,105421.10273162319
9,2,2011,2011-02-28,15026.680000000038,71,105413.59685544753
9,3,2011,2011-03-01,102360.13999999882,72,128895.8585670808
10,3,2011,2011-03-07,112193.92999999887,73,128888.35269090513
11,3,2011,2011-03-14,137669.81999999858,74,128880.84681472948
12,3,2011,2011-03-21,129560.71999999843,75,128873.34093855381
13,3,2011,2011-03-28,112297.14999999887,76,128865.83506237814
13,4,2011,2011-04-01,31360.430000000106,77,105825.46876708089
14,4,2011,2011-04-04,119697.72999999831,78,105817.96289090521
15,4,2011,2011-04-11,134930.8209999988,79,105810.45701472956
16,4,2011,2011-04-18,115969.3999999994,80,105802.9511385539
17,4,2011,2011-04-26,66415.95000000007,81,105795.44526237823
17,5,2011,2011-05-01,6958.109999999997,82,115738.58309560828
18,5,2011,2011-05-03,131094.1199999994,83,115731.07721943261
19,5,2011,2011-05-09,178574.31999999992,84,115723.57134325695
20,5,2011,2011-05-16,195818.78999999957,85,115716.06546708128
21,5,2011,2011-05-23,146776.61000000077,86,115708.55959090561
22,5,2011,2011-05-31,18133.20000000001,87,115701.05371472996
22,6,2011,2011-06-01,83907.16999999965,88,129427.8005289929
23,6,2011,2011-06-06,193704.11999999874,89,129420.29465281723
24,6,2011,2011-06-13,171702.43999999957,90,129412.78877664157
25,6,2011,2011-06-20,112600.66999999907,91,129405.28290046591
26,6,2011,2011-06-27,98131.64999999948,92,129397.77702429025
26,7,2011,2011-07-01,18119.17000000006,93,118655.98962899274
27,7,2011,2011-07-04,131222.5199999993,94,118648.48375281709
28,7,2011,2011-07-11,118078.72999999874,95,118640.97787664142
29,7,2011,2011-07-18,167284.43999999927,96,118633.47200046576
30,7,2011,2011-07-25,164258.04099999976,97,118625.96612429009
31,8,2011,2011-08-01,155943.0000000004,98,113065.10329309959
32,8,2011,2011-08-08,143544.61999999968,99,113057.59741692393
33,8,2011,2011-08-15,167634.39999999956,100,113050.09154074827
34,8,2011,2011-08-22,147595.96000000052,101,113042.5856645726
35,8,2011,2011-08-30,29333.059999999994,102,113035.07978839694
35,9,2011,2011-09-01,84492.90999999952,103,177760.25076708192
36,9,2011,2011-09-05,166212.45999999924,104,177752.74489090627
37,9,2011,2011-09-12,208718.8799999982,105,177745.23901473059
38,9,2011,2011-09-19,309091.50100000505,106,177737.73313855493
39,9,2011,2011-09-26,182174.45099999852,107,177730.22726237925
39,10,2011,2011-10-02,11479.980000000014,108,187880.94036833761
40,10,2011,2011-10-03,296214.2400000022,109,187873.43449216196
41,10,2011,2011-10-10,203708.95000000004,110,187865.9286159863
42,10,2011,2011-10-17,254775.57000000097,111,187858.42273981063
43,10,2011,2011-10-24,236456.84000000052,112,187850.91686363498
44,10,2011,2011-10-31,33006.87000000008,113,187843.4109874593
44,11,2011,2011-11-01,226367.14999999988,114,232052.64572899707
45,11,2011,2011-11-07,263717.33000000083,115,232045.1398528214
46,11,2011,2011-11-14,276216.9800000018,116,232037.63397664574
47,11,2011,2011-11-21,248234.58000000165,117,232030.12810047006
48,11,2011,2011-11-28,141669.56999999916,118,232022.6222242944
48,12,2011,2011-12-01,109163.46999999888,119,176582.85255438188
49,12,2011,2011-12-05,408044.97000000026,120,176575.34667820623
